SEASON_ID,TEAM_ID,PLAYER_AGE,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,position
2004-05,1610612758,26.0,48.0,8,12,0.667,0,0,0.0,2,6,0.333,5,6,11,2,0,0,3,8,18,Forward
2006-07,1610612738,23.0,720.0,79,177,0.446,0,2,0.0,106,144,0.736,97,118,215,10,14,22,47,104,264,Forward
2021-22,1610612746,27.0,98.0,12,29,0.414,4,9,0.444,13,16,0.813,2,14,16,4,2,1,4,4,41,Forward
1993-94,1610612748,28.0,2037.0,278,667,0.417,73,216,0.338,64,89,0.719,104,246,350,385,71,21,173,195,693,Guard
2007-08,1610612754,31.0,1884.0,205,373,0.55,0,3,0.0,86,145,0.593,264,404,668,129,56,32,62,221,496,Forward-Center
2018-19,1610612739,20.0,2605.0,519,1206,0.43,119,296,0.402,214,255,0.839,57,179,236,243,44,6,185,186,1371,Guard
1973-74,1610612739,22.0,1862.0,210,548,0.383,,,,80,123,0.65,207,317,524,149,46,35,,192,500,Forward
2023-24,1610612761,24.0,1072.0,272,492,0.553,47,120,0.392,105,167,0.629,34,170,204,130,19,13,79,84,696,Forward-Guard
2019-20,1610612747,33.0,1687.0,197,474,0.416,120,327,0.367,33,48,0.688,51,174,225,91,85,32,63,136,547,Guard
2012-13,1610612760,23.0,2486.0,446,778,0.573,20,57,0.351,143,191,0.749,222,395,617,43,28,242,125,213,1055,Forward
2005-06,1610612737,20.0,2559.0,329,774,0.425,34,110,0.309,210,292,0.719,176,355,531,191,64,208,162,260,902,Forward
1954-55,1610612765,28.0,820.0,56,161,0.348,,,,54,88,0.614,,,155.0,131,,,,115,166,Guard
2008-09,1610612738,23.0,2642.0,383,759,0.505,15,48,0.313,172,268,0.642,100,316,416,659,149,11,209,193,953,Guard
2007-08,1610612759,34.0,413.0,43,143,0.301,14,55,0.255,6,8,0.75,6,41,47,53,11,2,30,30,106,Guard
1958-59,1610612752,27.0,2558.0,443,1046,0.424,,,,405,505,0.802,,,518,364,,,,255,1291,Guard
2005-06,1610612750,30.0,676.0,27,66,0.409,0,7,0.0,20,47,0.426,50,91,141,11,23,17,26,114,74,Forward
1966-67,1610612741,24.0,986.0,186,444,0.419,,,,68,90,0.756,,,201,39,,,,143,440,Forward
2021-22,1610612743,31.0,14.0,2,6,0.333,0,2,0.0,0,1,0.0,1,1,2,3,0,0,1,1,4,Forward
1969-70,1610612765,26.0,2869.0,666,1394,0.478,,,,355,440,0.807,,,242,248,,,,203,1687,Guard
1973-74,1610612741,25.0,1229.0,296,658,0.45,,,,92,115,0.8,86.0,199.0,285,32,23.0,39.0,,116,684,Forward
1981-82,1610612738,26.0,2590.0,397,724,0.548,0.0,3.0,0.0,357,478,0.747,218,281,499,183,79,49,174,263,1151,Forward
1982-83,1610612737,24.0,305.0,49,104,0.471,0,1,0.0,25,40,0.625,35,53,88,9,5,5,22,46,123,Center
1989-90,0,26.0,2426.0,484,940,0.515,0,2,0.0,303,419,0.723,211,388,599,99,69,51,183,212,1271,Forward
2022-23,1610612744,27.0,1958.0,242,384,0.63,0,1,0.0,94,155,0.606,274,486,760,207,52,50,45,225,578,Forward
2020-21,1610612757,22.0,1104.0,168,401,0.419,120,282,0.426,46,57,0.807,14,126,140,89,18,8,43,96,502,Guard
2011-12,1610612766,23.0,423.0,52,160,0.325,4,20,0.2,42,60,0.7,7,28,35,36,5,6,39,40,150,Guard
1991-92,1610612742,34.0,2040.0,367,851,0.431,1,6,0.167,124,171,0.725,106,348,454,94,35,98,114,189,859,Center
2014-15,1610612766,26.0,430.0,45,114,0.395,11,36,0.306,26,41,0.634,14,39,53,22,12,1,19,36,127,
2021-22,1610612749,24.0,42.0,5,7,0.714,3,3,1.0,2,3,0.667,2,2,4,6,3,0,1,2,15,Guard
2021-22,1610612738,22.0,728.0,79,184,0.429,29,83,0.349,20,34,0.588,30,74,104,19,21,16,16,46,207,Guard-Forward
1989-90,1610612747,32.0,1333.0,170,383,0.444,32,81,0.395,46,60,0.767,12,86,98,217,47,4,95,92,418,Guard
2023-24,1610612761,31.0,705.0,110,217,0.507,31,94,0.33,71,92,0.772,62,145,207,23,14,24,28,68,322,Forward
2020-21,1610612759,26.0,1064.0,186,453,0.411,84,243,0.346,97,114,0.851,13,94,107,127,26,36,45,91,553,Guard
1993-94,1610612748,27.0,66.0,11,25,0.44,5,9,0.556,6,8,0.75,4,6,10,2,1,1,5,14,33,Forward
2009-10,0,25.0,239.0,28,60,0.467,0,10,0.0,13,23,0.565,16,35,51,13,9,2,17,29,69,Guard
1977-78,0,25.0,1646.0,279,661,0.422,,,,128,182,0.703,135,304,439,136,64,83,136.0,241,686,Forward
2014-15,1610612755,24.0,1776.0,224,543,0.413,115,287,0.401,63,89,0.708,53,145,198,85,57,26,66,141,626,Forward
2011-12,1610612740,29.0,781.0,114,214,0.533,0,0,0.0,38,74,0.514,70,143,213,24,16,26,37,73,266,Center
1985-86,1610612764,26.0,2563.0,595,1255,0.474,1,3,0.333,269,353,0.762,180,500,680,186,98,44,206,217,1460,Forward
1991-92,1610612746,26.0,1310.0,251,539,0.466,0,6,0.0,212,270,0.785,95,206,301,56,41,98,69,159,714,Forward
1991-92,1610612752,28.0,2344.0,431,964,0.447,38,108,0.352,116,159,0.73,74,132,206,219,76,17,113,195,1016,Guard
2018-19,1610612763,28.0,7.0,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,2,Guard-Forward
2019-20,1610612741,26.0,484.0,77,165,0.467,16,42,0.381,39,50,0.78,22,64,86,49,34,19,19,55,209,Guard
1999-00,1610612765,29.0,2919.0,379,892,0.425,168,389,0.432,117,154,0.76,35,215,250,327,129,22,145,216,1043,Guard
2015-16,1610612759,29.0,2062.0,211,561,0.376,116,349,0.332,34,46,0.739,48,255,303,141,79,64,75,141,572,Guard
1971-72,1610612744,30.0,3362.0,628,1454,0.432,,,,417,561,0.743,,,1252,230,,,,214,1673,Center
1970-71,1610612738,24.0,2787.0,693,1494,0.464,,,,215,269,0.799,,,376,361,,,,255,1601,Guard
2009-10,1610612762,26.0,2802.0,494,1053,0.469,96,259,0.371,335,418,0.801,50,253,303,798,96,16,252,208,1419,Guard
2014-15,1610612761,27.0,216.0,20,41,0.488,1,2,0.5,5,6,0.833,10,16,26,15,11,0,8,9,46,Guard-Forward
1982-83,1610612749,24.0,1528.0,213,466,0.457,1,9,0.111,105,176,0.597,83,198,281,207,99,47,162,174,532,Guard
1947-48,1610612744,32.0,0.0,23,69,0.333,,,,14,24,0.583,,,0.0,7,,,,31,60,Center
2005-06,1610612757,20.0,212.0,18,31,0.581,0,0,0.0,8,17,0.471,14,35,49,1,3,8,14,41,44,Center
2004-05,1610612748,33.0,2840.0,351,820,0.428,142,382,0.372,174,216,0.806,38,367,405,212,86,38,99,251,1018,Guard-Forward
2012-13,1610612746,36.0,418.0,53,132,0.402,33,90,0.367,45,48,0.938,2,30,32,49,12,1,26,25,184,Guard
2014-15,1610612754,24.0,2381.0,251,634,0.396,68,208,0.327,159,193,0.824,70,244,314,184,66,18,115,177,729,Forward
1970-71,1610612755,34.0,1589.0,324,686,0.472,,,,230,315,0.73,,,441,115,,,,234,878,Forward
2005-06,1610612753,29.0,938.0,101,242,0.417,50,129,0.388,30,37,0.811,31,77,108,38,12,9,38,108,282,Forward
1997-98,1610612745,35.0,2528.0,531,1041,0.51,1,7,0.143,242,305,0.793,232,447,679,78,55,38,170,235,1305,Center-Forward
1979-80,1610612760,32.0,2533.0,377,772,0.488,0.0,0.0,,161,201,0.801,163.0,263.0,426,424,76.0,35.0,247.0,213,915,Forward
2016-17,1610612753,33.0,1013.0,96,248,0.387,32,105,0.305,57,66,0.864,16,73,89,114,43,2,47,84,281,Guard
2010-11,1610612738,32.0,431.0,50,109,0.459,0,1,0.0,29,43,0.674,25,63,88,12,2,30,27,65,129,Center-Forward
2019-20,0,26.0,1786.0,288,592,0.486,77,197,0.391,74,86,0.86,81,189,270,96,54,16,55,100,727,Forward
2022-23,1610612764,24.0,2093.0,291,585,0.497,163,384,0.424,75,88,0.852,33,174,207,87,32,9,55,97,820,Forward
1977-78,1610612738,30.0,14.0,1,4,0.25,,,,0,0,,1.0,5.0,6,0,1.0,0.0,2.0,2,2,Forward
1972-73,1610612755,37.0,848.0,91,232,0.392,,,,32,39,0.821,,,106,111,,,,76,214,Guard
1977-78,1610612758,22.0,1878.0,470,955,0.492,,,,216,310,0.697,70,105,175,174,74,12,145,179,1156,Guard
2007-08,1610612752,21.0,685.0,106,242,0.438,9,30,0.3,34,54,0.63,38,89,127,33,15,16,27,83,255,Forward
1996-97,1610612753,29.0,19.0,2,2,1.0,0,0,0.0,0,0,0.0,5,1,6,1,0,0,1,2,4,Center
2017-18,0,35.0,1340.0,187,454,0.412,79,227,0.348,142,170,0.835,12,115,127,152,47,12,76,158,595,Guard
2006-07,1610612743,23.0,37.0,2,5,0.4,0,0,0.0,2,2,1.0,1,2,3,10,3,0,1,3,6,Guard
2018-19,1610612750,23.0,1560.0,185,446,0.415,40,126,0.317,58,69,0.841,23,111,134,327,81,5,47,78,468,Guard
1971-72,0,23.0,366.0,69,171,0.404,,,,30,45,0.667,,,32,37,,,,50,168,Guard
2019-20,1610612747,24.0,1526.0,291,668,0.436,86,272,0.316,114,155,0.735,52,221,273,80,28,26,91,126,782,Forward
1995-96,1610612747,24.0,20.0,3,11,0.273,0,1,0.0,1,3,0.333,1,1,2,2,2,0,2,4,7,Guard
1971-72,0,30.0,2040.0,336,778,0.432,,,,152,188,0.809,,,433,158,,,,217,824,Forward
1980-81,0,25.0,1452.0,275,631,0.436,1.0,7.0,0.143,91,114,0.798,34,52,86,148,61,34,92,95,642,Guard
1970-71,1610612756,26.0,1091.0,124,288,0.431,,,,83,101,0.822,,,153,114,,,,156,331,Guard
1963-64,1610612747,28.0,975.0,134,357,0.375,,,,65,85,0.765,,,283,49,,,,166,333,Center
2020-21,1610612739,33.0,503.0,112,215,0.521,5,20,0.25,36,55,0.655,54,116,170,33,16,40,45,80,265,Center-Forward
1990-91,1610612755,27.0,1695.0,292,621,0.47,0,2,0.0,164,201,0.816,134,230,364,78,35,32,110,120,748,Forward
2015-16,1610612752,34.0,2024.0,209,455,0.459,84,203,0.414,42,48,0.875,22,207,229,298,63,7,87,135,544,Guard
2010-11,1610612755,33.0,71.0,7,15,0.467,0,0,0.0,2,4,0.5,2,8,10,2,0,0,4,16,16,Forward
1985-86,1610612746,24.0,1566.0,204,426,0.479,0,3,0.0,113,174,0.649,168,249,417,81,62,34,106,176,521,Center
1997-98,1610612743,28.0,2575.0,410,1007,0.407,57,201,0.284,206,256,0.805,146,398,544,213,65,49,173,226,1083,Forward
2019-20,1610612756,22.0,719.0,72,181,0.398,25,71,0.352,50,71,0.704,16,74,90,115,24,4,38,54,219,Forward-Guard
2015-16,1610612737,24.0,395.0,28,80,0.35,12,49,0.245,16,22,0.727,4,46,50,39,9,2,23,45,84,Guard-Forward
2019-20,1610612753,27.0,922.0,73,143,0.51,0,1,0.0,66,101,0.653,91,129,220,50,20,23,31,91,212,Center
2007-08,1610612741,33.0,1627.0,101,271,0.373,0,4,0.0,53,125,0.424,175,266,441,92,69,80,49,86,255,Forward-Center
1991-92,1610612746,27.0,2049.0,275,595,0.462,15,51,0.294,44,54,0.815,34,150,184,538,138,14,187,181,609,Guard
2014-15,1610612763,26.0,6.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,Guard
2014-15,0,22.0,1563.0,203,496,0.409,39,131,0.298,85,126,0.675,27,125,152,155,48,14,65,146,530,Guard
1951-52,1610610030,31.0,494.0,48,161,0.298,,,,30,51,0.588,,,81.0,70,,,,56,126,Guard
1947-48,1610610024,20.0,,27,101,0.267,,,,22,37,0.595,,,,6,,,,34,76,Guard
1984-85,1610612760,28.0,860.0,63,149,0.423,0,0,,41,59,0.695,44,78,122,53,28,11,42,74,167,Forward
1987-88,1610612745,24.0,199.0,34,86,0.395,0,1,0.0,15,16,0.938,12,9,21,17,8,2,6,15,83,Guard
2018-19,1610612741,25.0,1430.0,184,426,0.432,24,89,0.27,82,123,0.667,33,189,222,139,89,30,60,124,474,Guard
1995-96,1610612743,29.0,1045.0,127,268,0.474,0,0,0.0,88,115,0.765,85,138,223,23,23,13,48,137,342,Forward
2013-14,1610612765,22.0,79.0,5,12,0.417,1,1,1.0,11,19,0.579,15,11,26,2,6,3,4,9,22,
1951-52,1610612737,27.0,783.0,98,279,0.351,,,,97,145,0.669,,,111.0,57,,,,132,293,Forward
2014-15,1610612758,27.0,1565.0,260,550,0.473,60,161,0.373,145,184,0.788,19,124,143,252,67,14,112,95,725,Guard
1998-99,1610612765,27.0,577.0,42,80,0.525,0,1,0.0,11,32,0.344,45,94,139,14,12,27,16,107,95,Center
2018-19,1610612738,27.0,908.0,146,266,0.549,26,67,0.388,56,76,0.737,87,138,225,68,21,42,33,161,374,Forward-Center
1982-83,1610612746,23.0,85.0,17,37,0.459,0,0,0.0,6,6,1.0,10,7,17,4,3,0,6,14,40,Forward
2006-07,1610612742,25.0,1480.0,71,151,0.47,0,1,0.0,48,86,0.558,166,272,438,30,40,113,63,244,190,Center
2015-16,1610612750,36.0,1462.0,102,229,0.445,4,23,0.174,13,19,0.684,32,115,147,74,36,13,27,62,221,Forward
2005-06,1610612763,29.0,402.0,46,111,0.414,13,29,0.448,19,27,0.704,11,44,55,33,23,0,27,65,124,Forward
1980-81,1610612757,26.0,2790.0,569,1151,0.494,0.0,1.0,0.0,207,323,0.641,223,463,686,284,62,170,241,260,1345,Center
2021-22,1610612738,28.0,15.0,2,6,0.333,2,6,0.333,1,2,0.5,0,0,0,1,0,0,1,0,7,Guard
2007-08,1610612765,25.0,1768.0,240,446,0.538,0,1,0.0,171,270,0.633,177,256,433,46,21,94,71,183,651,Forward
2007-08,1610612743,33.0,1960.0,218,476,0.458,45,129,0.349,64,85,0.753,27,173,200,388,107,28,124,172,545,Guard
1997-98,1610612743,33.0,621.0,40,121,0.331,2,10,0.2,5,10,0.5,36,90,126,30,20,7,22,92,87,Forward
2011-12,1610612739,24.0,608.0,71,176,0.403,2,22,0.091,21,26,0.808,15,44,59,92,10,3,42,32,165,Guard
2010-11,1610612755,31.0,931.0,118,277,0.426,42,118,0.356,49,61,0.803,19,150,169,45,14,15,47,100,327,
1988-89,1610612744,25.0,1597.0,311,715,0.435,7,37,0.189,174,218,0.798,128,202,330,140,88,40,129,165,803,Forward
2001-02,1610612743,21.0,560.0,73,199,0.367,7,27,0.259,36,46,0.783,17,35,52,108,31,1,53,43,189,Guard
2019-20,1610612747,22.0,5.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,Guard-Forward
1977-78,1610612752,29.0,1765.0,412,852,0.484,,,,96,135,0.711,141.0,301.0,442,126,37.0,72.0,140.0,188,920,Forward
1982-83,1610612749,26.0,589.0,64,139,0.46,0,1,0.0,34,42,0.81,29,93,122,23,9,21,40,138,162,Center
2023-24,0,25.0,1053.0,239,408,0.586,9,23,0.391,96,126,0.762,130,182,312,55,20,33,59,81,583,Forward
1986-87,1610612739,27.0,279.0,30,65,0.462,0,0,0.0,20,41,0.488,19,39,58,23,9,4,24,28,80,Forward
2015-16,1610612750,28.0,1075.0,110,235,0.468,48,125,0.384,40,55,0.727,49,161,210,82,26,21,47,154,308,Forward
1987-88,1610612744,23.0,1597.0,242,565,0.428,0,1,0.0,150,207,0.725,95,235,330,111,53,23,109,267,634,Forward
2007-08,1610612750,23.0,2919.0,721,1441,0.5,0,5,0.0,284,394,0.721,308,603,911,117,74,119,167,222,1726,Center
1977-78,1610612738,38.0,2797.0,546,1217,0.449,,,,230,269,0.855,93.0,239.0,332,328,90.0,22.0,204.0,185,1322,Forward
2010-11,1610612755,32.0,2809.0,502,981,0.512,0,1,0.0,213,273,0.78,237,439,676,120,92,106,101,244,1217,Forward
1970-71,1610612741,22.0,60.0,15,35,0.429,,,,4,8,0.5,,,16,2,,,,10,34,Center
1991-92,1610612751,26.0,2394.0,346,726,0.477,22,110,0.2,165,231,0.714,199,295,494,197,129,81,171,211,879,Forward
1988-89,1610612737,28.0,18.0,2,6,0.333,0,2,0.0,0,0,0.0,0,2,2,2,2,0,3,2,4,Guard
2007-08,1610612746,29.0,1040.0,124,296,0.419,36,108,0.333,68,82,0.829,13,84,97,172,32,3,55,108,352,Guard
1982-83,1610612759,23.0,393.0,76,157,0.484,0,2,0.0,31,43,0.721,31,63,94,19,18,6,28,57,183,Forward
2012-13,1610612753,27.0,2307.0,397,905,0.439,72,240,0.3,191,223,0.857,29,210,239.0,206,40,11,138,137,1057,Guard
2017-18,1610612753,32.0,682.0,65,162,0.401,27,70,0.386,22,26,0.846,4,62,66.0,30,4,9,21,56,179,Guard
1998-99,1610612741,23.0,476.0,39,123,0.317,19,61,0.311,11,22,0.5,9,33,42,41,18,5,29,30,108,Guard
1972-73,1610612745,25.0,1697.0,381,820,0.465,,,,239,269,0.888,,,149,262,,,,211,1001,Guard
1989-90,1610612743,23.0,956.0,145,309,0.469,0,5,0.0,44,120,0.367,144,217,361,105,53,17,85,189,334,Forward
2002-03,1610612759,32.0,2568.0,223,479,0.466,101,229,0.441,36,89,0.404,59,180,239,113,66,42,72,195,583,Forward
1975-76,1610612739,30.0,2338.0,495,1121,0.442,,,,111,136,0.816,83.0,258.0,341,155,58.0,36.0,,231,1101,Forward
2003-04,1610612739,21.0,708.0,112,306,0.366,31,86,0.36,32,47,0.681,9,49,58,51,26,7,41,89,287,Guard
2012-13,1610612758,30.0,1209.0,84,190,0.442,0,1,0.0,30,48,0.625,113,186,299,112,31,18,44,114,198,Forward-Center
1985-86,1610612749,26.0,1739.0,284,568,0.5,73,162,0.451,75,86,0.872,39,78,117,229,74,2,89,157,716,Guard
1987-88,1610612744,30.0,499.0,58,123,0.472,0,1,0.0,11,27,0.407,79,103,182,25,12,11,36,63,127,Forward
1987-88,1610612741,25.0,3311.0,1069,1998,0.535,7,53,0.132,723,860,0.841,139,310,449,485,259,131,252,270,2868,Guard
1949-50,1610612737,28.0,0.0,46,157,0.293,,,,69,94,0.734,,,0.0,68,,,,54,161,Guard
2005-06,1610612766,26.0,2165.0,409,791,0.517,0,2,0.0,164,224,0.732,181,259,440,45,19,32,85,227,982,Center
1970-71,1610612738,29.0,1234.0,214,489,0.438,,,,93,127,0.732,,,343,79,,,,196,521,Center
2004-05,1610612764,23.0,2006.0,203,434,0.468,16,51,0.314,101,173,0.584,152,222,374,151,66,35,114,206,523,Forward
1993-94,1610612756,27.0,8.0,1,4,0.25,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1,2,Guard
1946-47,1610610031,33.0,,4,27,0.148,,,,8,12,0.667,,,,3,,,,6,16,Forward
1966-67,1610612741,23.0,2136.0,422,957,0.441,,,,171,260,0.658,,,497,131,,,,223,1015,Forward
2011-12,1610612763,25.0,2422.0,485,1067,0.455,54,173,0.312,208,263,0.791,130,287,417,147,95,55,161,138,1232,Forward-Guard
1977-78,1610612757,29.0,1132.0,210,447,0.47,,,,100,122,0.82,34.0,79.0,113,87,59.0,5.0,66.0,138,520,Guard
2015-16,1610612754,26.0,2819.0,605,1449,0.418,210,566,0.371,454,528,0.86,79,484,563,329,152,29,265,230,1874,Forward
1982-83,1610612746,29.0,1844.0,313,717,0.437,3.0,21.0,0.143,129,179,0.721,30,98,128,373,111,14,198.0,155,758,Guard
1998-99,1610612738,22.0,213.0,29,75,0.387,15,33,0.455,3,4,0.75,4,27,31,29,6,0,12,16,76,Guard
2014-15,1610612763,26.0,838.0,104,247,0.421,11,43,0.256,24,45,0.533,19,87,106,146,63,5,61,100,243,Guard
2015-16,1610612739,33.0,446.0,71,161,0.441,43,114,0.377,11,14,0.786,12,81,93,26,8,8,13,56,196,Forward-Center
1988-89,1610612751,24.0,1551.0,299,714,0.419,4,27,0.148,186,219,0.849,91,111,202,103,70,30,102,150,788,Forward
1973-74,1610612765,25.0,298.0,35,96,0.365,,,,15,22,0.682,15,16,31,18,12,1,,45,85,Guard
2019-20,1610612755,21.0,32.0,3,11,0.273,0,3,0.0,2,4,0.5,0,2,2,2,3,0,2,4,8,Guard
2000-01,1610612749,33.0,1983.0,108,198,0.545,0,0,0.0,50,93,0.538,205,408,613,40,44,97,47,257,266,Center
2017-18,0,28.0,640.0,110,294,0.374,46,144,0.319,64,72,0.889,5,82,87,46,13,5,38,33,330,Guard
1998-99,1610612743,26.0,780.0,80,219,0.365,6,26,0.231,111,139,0.799,34,47,81,37,27,8,49,76,277,Guard-Forward
2002-03,1610612746,23.0,2005.0,343,773,0.444,62,177,0.35,325,405,0.802,77,245,322,123,55,16,147,194,1073,Forward
2000-01,0,36.0,2582.0,244,583,0.419,70,207,0.338,73,93,0.785,63,242,305,661,84,7,175,139,631,Guard
1993-94,1610612759,35.0,1.0,0,0,0.0,0,0,0.0,3,6,0.5,1,0,1,0,0,0,1,1,3,Center
2010-11,1610612755,36.0,35.0,2,5,0.4,0,2,0.0,2,2,1.0,0,5,5,2,0,0,1,0,6,Guard
1980-81,1610612755,23.0,1768.0,399,806,0.495,9,29,0.31,161,226,0.712,32,111,143,273,59,10,219,234,968,Guard
1986-87,1610612758,23.0,98.0,7,24,0.292,0,1,0.0,0,4,0.0,5,9,14,17,9,0,9,9,14,Guard
2019-20,1610612758,30.0,541.0,69,171,0.404,14,71,0.197,23,28,0.821,46,121,167,15,15,26,47,93,175,Center
1995-96,1610612763,23.0,2460.0,401,877,0.457,0,3,0.0,219,299,0.732,178,392,570,109,43,55,157,226,1021,Center
2004-05,1610612738,36.0,2542.0,339,725,0.468,42,129,0.326,153,201,0.761,48,188,236,469,88,12,148,121,873,Guard
2017-18,1610612745,26.0,31.0,2,7,0.286,1,5,0.2,0,0,0.0,1,4,5,2,0,0,2,6,5,Guard
2009-10,1610612739,25.0,77.0,16,35,0.457,2,9,0.222,5,6,0.833,0,4,4,12,2,0,6,6,39,Guard
2023-24,1610612760,22.0,897.0,95,228,0.417,53,144,0.368,33,41,0.805,36,198,234,110,28,27,34,98,276,Forward
2013-14,1610612763,34.0,1948.0,200,492,0.407,20,69,0.29,34,60,0.567,32,202,234,119,39,19,41,63,454,Forward
1989-90,1610612758,28.0,924.0,228,473,0.482,0,3,0.0,158,196,0.806,65,108,173,66,15,34,71,119,614,Forward
2007-08,1610612762,24.0,3059.0,566,1117,0.507,83,210,0.395,330,411,0.803,34,209,243,862,90,23,279,200,1545,Guard
2017-18,0,25.0,181.0,26,68,0.382,10,26,0.385,12,19,0.632,13,25,38,4,5,1,7,22,74,Forward
1995-96,1610612742,26.0,2322.0,327,733,0.446,14,39,0.359,102,133,0.767,260,477,737,132,54,27,109,262,770,Forward
1992-93,1610612743,31.0,737.0,106,228,0.465,0,3,0.0,69,95,0.726,53,120,173,40,14,11,78,141,281,Forward
2001-02,1610612758,19.0,432.0,75,175,0.429,0,7,0.0,23,46,0.5,49,40,89,27,19,6,22,46,173,Forward
1949-50,0,24.0,,163,579,0.282,,,,122,177,0.689,,,,141,,,,260,448,Center
1985-86,1610612754,26.0,1197.0,112,239,0.469,0,2,0.0,116,162,0.716,106,169,275,95,39,22,91,174,340,Forward
2015-16,1610612763,28.0,61.0,8,26,0.308,0,0,0.0,4,10,0.4,18,8,26,2,1,3,0,8,20,Forward
1991-92,1610612745,25.0,1278.0,205,447,0.459,64,166,0.386,38,50,0.76,73,150,223,75,26,21,56,129,512,Forward
1996-97,1610612763,26.0,1057.0,137,291,0.471,8,31,0.258,60,97,0.619,98,163,261,76,63,17,64,97,342,Forward
1976-77,1610612747,24.0,908.0,153,342,0.447,,,,78,101,0.772,76,123,199,53,18,4,,113,384,Center
2013-14,1610612738,24.0,789.0,85,214,0.397,43,127,0.339,37,43,0.86,31,66,97,31,27,4,22,63,250,Forward
2007-08,1610612737,25.0,402.0,65,180,0.361,29,85,0.341,41,50,0.82,4,20,24,28,7,5,21,34,200,Guard
1950-51,1610612744,26.0,,129,383,0.337,,,,69,97,0.711,,,237.0,89,,,,149,327,Center
1979-80,1610612744,22.0,1636.0,461,916,0.503,0.0,6.0,0.0,134,165,0.812,119,197,316,123,63,9,122,186,1056,Forward
1982-83,0,23.0,1222.0,207,435,0.476,1,4,0.25,61,83,0.735,96,159,255,59,25,23,81,192,476,Forward
1974-75,1610612744,26.0,2519.0,299,573,0.522,,,,171,284,0.602,259.0,611.0,870,178,95.0,116.0,,305,769,Center
1967-68,1610612745,34.0,1073.0,241,526,0.458,,,,100,212,0.472,,,423,59,,,,112,582,Forward
2009-10,1610612752,27.0,3019.0,686,1258,0.545,0,8,0.0,268,330,0.812,228,721,949,295,85,40,189,257,1640,Forward-Center
1977-78,1610612755,26.0,2770.0,643,1223,0.526,,,,267,329,0.812,87,143,230,320,128,25,250.0,228,1553,Guard
1951-52,1610612752,27.0,1558.0,227,600,0.378,,,,175,254,0.689,,,471.0,121,,,,214,629,Center
