Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Burma,350,6,292,52,0,0,2,2.05,341,9,2.64,South-East Asia
Burundi,378,1,301,76,17,0,22,0.33,322,56,17.39,Africa
Cabo Verde,2328,22,1550,756,21,0,103,1.42,2071,257,12.41,Africa
Cambodia,226,0,147,79,1,0,4,0,171,55,32.16,Western Pacific
Cameroon,17110,391,14539,2180,402,6,0,2.69,16157,953,5.9,Africa
Canada,116458,8944,0,107514,682,11,0,inf,112925,3533,3.13,Americas
Central African Republic,4599,59,1546,2994,0,0,0,3.82,4548,51,1.12,Africa
Chad,922,75,810,37,7,0,0,9.26,889,33,3.71,Africa
Chile,347923,9187,319954,18782,2133,75,1859,2.87,333029,14894,4.47,Americas
China,86783,4656,78869,3258,213,4,7,5.9,85622,1161,1.36,Western Pacific
Colombia,257101,8777,131161,117163,16306,508,11494,6.69,204005,53096,26.03,Americas
Comoros,354,7,328,19,0,0,0,2.13,334,20,5.99,Africa
Congo (Brazzaville),3200,54,829,2317,162,3,73,6.51,2851,349,12.24,Africa
Congo (Kinshasa),8844,208,5700,2936,13,4,190,3.65,8443,401,4.75,Africa
Costa Rica,15841,115,3824,11902,612,11,88,3.01,11534,4307,37.34,Americas
Cote d'Ivoire,15655,96,10361,5198,59,0,183,0.93,14312,1343,9.38,Africa
Croatia,4881,139,3936,806,24,3,70,3.53,4370,511,11.69,Europe
Cuba,2532,87,2351,94,37,0,2,3.7,2446,86,3.52,Americas
Cyprus,1060,19,852,189,3,0,0,2.23,1038,22,2.12,Europe
Czechia,15516,373,11428,3715,192,2,0,3.26,14098,1418,10.06,Europe
Denmark,13761,613,12605,543,109,0,77,4.86,13453,308,2.29,Europe
Djibouti,5059,58,4977,24,9,0,11,1.17,5020,39,0.78,Eastern Mediterranean
Dominica,18,0,18,0,0,0,0,0,18,0,0,Americas
Dominican Republic,64156,1083,30204,32869,1248,20,1601,3.59,53956,10200,18.9,Americas
Ecuador,81161,5532,34896,40733,467,17,0,15.85,74620,6541,8.77,Americas
Egypt,92482,4652,34838,52992,420,46,1007,13.35,88402,4080,4.62,Eastern Mediterranean
El Salvador,15035,408,7778,6849,405,8,130,5.25,12207,2828,23.17,Americas
Equatorial Guinea,3071,51,842,2178,0,0,0,6.06,3071,0,0,Africa
Eritrea,265,0,191,74,2,0,2,0,251,14,5.58,Africa
Estonia,2034,69,1923,42,0,0,1,3.59,2021,13,0.64,Europe
Eswatini,2316,34,1025,1257,109,2,39,3.32,1826,490,26.83,Africa
Ethiopia,14547,228,6386,7933,579,5,170,3.57,10207,4340,42.52,Africa
Fiji,27,0,18,9,0,0,0,0,27,0,0,Western Pacific
Finland,7398,329,6920,149,5,0,0,4.75,7340,58,0.79,Europe
France,220352,30212,81212,108928,2551,17,267,37.2,214023,6329,2.96,Europe
Gabon,7189,49,4682,2458,205,0,219,1.05,6433,756,11.75,Africa
Gambia,326,8,66,252,49,2,6,12.12,112,214,191.07,Africa
Georgia,1137,16,922,199,6,0,2,1.74,1039,98,9.43,Europe
Germany,207112,9125,190314,7673,445,1,259,4.79,203325,3787,1.86,Europe
Ghana,33624,168,29801,3655,655,0,307,0.56,28430,5194,18.27,Africa
Greece,4227,202,1374,2651,34,0,0,14.7,4012,215,5.36,Europe
Greenland,14,0,13,1,1,0,0,0,13,1,7.69,Europe
Grenada,23,0,23,0,0,0,0,0,23,0,0,Americas
Guatemala,45309,1761,32455,11093,256,27,843,5.43,39039,6270,16.06,Americas
Guinea,7055,45,6257,753,47,2,105,0.72,6590,465,7.06,Africa
Guinea-Bissau,1954,26,803,1125,0,0,0,3.24,1949,5,0.26,Africa
Guyana,389,20,181,188,19,0,0,11.05,337,52,15.43,Americas
Haiti,7340,158,4365,2817,25,1,0,3.62,7053,287,4.07,Americas
Holy See,12,0,12,0,0,0,0,0,12,0,0,Europe
Honduras,39741,1166,5039,33536,465,50,117,23.14,34611,5130,14.82,Americas
Hungary,4448,596,3329,523,13,0,0,17.9,4339,109,2.51,Europe
Iceland,1854,10,1823,21,7,0,0,0.55,1839,15,0.82,Europe
India,1480073,33408,951166,495499,44457,637,33598,3.51,1155338,324735,28.11,South-East Asia
Indonesia,100303,4838,58173,37292,1525,57,1518,8.32,88214,12089,13.7,South-East Asia
Iran,293606,15912,255144,22550,2434,212,1931,6.24,276202,17404,6.3,Eastern Mediterranean
Iraq,112585,4458,77144,30983,2553,96,1927,5.78,94693,17892,18.89,Eastern Mediterranean
Ireland,25892,1764,23364,764,11,0,0,7.55,25766,126,0.49,Europe
Israel,63985,474,27133,36378,2029,4,108,1.75,52003,11982,23.04,Europe
Italy,246286,35112,198593,12581,168,5,147,17.68,244624,1662,0.68,Europe
Jamaica,853,10,714,129,11,0,0,1.4,809,44,5.44,Americas
Japan,31142,998,21970,8174,594,0,364,4.54,25706,5436,21.15,Western Pacific
Jordan,1176,11,1041,124,8,0,0,1.06,1223,-47,-3.84,Eastern Mediterranean
Kazakhstan,84648,585,54404,29659,1526,0,1833,1.08,73468,11180,15.22,Europe
Kenya,17975,285,7833,9857,372,5,90,3.64,13771,4204,30.53,Africa
Kosovo,7413,185,4027,3201,496,16,274,4.59,5877,1536,26.14,Europe
Kuwait,64379,438,55057,8884,606,5,684,0.8,59763,4616,7.72,Eastern Mediterranean
Kyrgyzstan,33296,1301,21205,10790,483,24,817,6.14,27143,6153,22.67,Europe
Laos,20,0,19,1,0,0,0,0,19,1,5.26,Western Pacific
Latvia,1219,31,1045,143,0,0,0,2.97,1192,27,2.27,Europe
Lebanon,3882,51,1709,2122,132,0,17,2.98,2905,977,33.63,Eastern Mediterranean
Lesotho,505,12,128,365,0,0,0,9.38,359,146,40.67,Africa
Liberia,1167,72,646,449,5,0,5,11.15,1107,60,5.42,Africa
Libya,2827,64,577,2186,158,4,24,11.09,1980,847,42.78,Eastern Mediterranean
Liechtenstein,86,1,81,4,0,0,0,1.23,86,0,0,Europe
Lithuania,2019,80,1620,319,11,0,4,4.94,1947,72,3.7,Europe
Luxembourg,6321,112,4825,1384,49,0,178,2.32,5639,682,12.09,Europe
Madagascar,9690,91,6260,3339,395,6,681,1.45,7153,2537,35.47,Africa
Malawi,3664,99,1645,1920,24,0,6,6.02,2992,672,22.46,Africa
Malaysia,8904,124,8601,179,7,0,1,1.44,8800,104,1.18,Western Pacific
Maldives,3369,15,2547,807,67,0,19,0.59,2999,370,12.34,South-East Asia
Mali,2513,124,1913,476,3,1,2,6.48,2475,38,1.54,Africa
Malta,701,9,665,27,1,0,0,1.35,677,24,3.55,Europe
Mauritania,6208,156,4653,1399,37,0,223,3.35,5923,285,4.81,Africa
Mauritius,344,10,332,2,0,0,0,3.01,343,1,0.29,Africa
Mexico,395489,44022,303810,47657,4973,342,8588,14.49,349396,46093,13.19,Americas
Moldova,23154,748,16154,6252,120,13,245,4.63,21115,2039,9.66,Europe
Monaco,116,4,104,8,0,0,0,3.85,109,7,6.42,Europe
Mongolia,289,0,222,67,1,0,4,0,287,2,0.7,Western Pacific
Montenegro,2893,45,809,2039,94,2,70,5.56,2188,705,32.22,Europe
Morocco,20887,316,16553,4018,609,3,115,1.91,17562,3325,18.93,Eastern Mediterranean
Mozambique,1701,11,0,1690,32,0,0,inf,1507,194,12.87,Africa
Namibia,1843,8,101,1734,68,0,26,7.92,1344,499,37.13,Africa
Nepal,18752,48,13754,4950,139,3,626,0.35,17844,908,5.09,South-East Asia
Netherlands,53413,6160,189,47064,419,1,0,3259.26,52132,1281,2.46,Europe
New Zealand,1557,22,1514,21,1,0,1,1.45,1555,2,0.13,Western Pacific
Nicaragua,3439,108,2492,839,0,0,0,4.33,3147,292,9.28,Americas
Niger,1132,69,1027,36,0,0,0,6.72,1105,27,2.44,Africa
Nigeria,41180,860,18203,22117,648,2,829,4.72,37225,3955,10.62,Africa
North Macedonia,10213,466,5564,4183,127,6,137,8.38,9249,964,10.42,Europe
Norway,9132,255,8752,125,15,0,0,2.91,9034,98,1.08,Europe
Oman,77058,393,57028,19637,1053,9,1729,0.69,68400,8658,12.66,Eastern Mediterranean
Pakistan,274289,5842,241026,27421,1176,20,3592,2.42,266096,8193,3.08,Eastern Mediterranean
Panama,61442,1322,35086,25034,1146,28,955,3.77,54426,7016,12.89,Americas
Papua New Guinea,62,0,11,51,0,0,0,0,19,43,226.32,Western Pacific
Paraguay,4548,43,2905,1600,104,2,111,1.48,3748,800,21.34,Americas
Peru,389717,18418,272547,98752,13756,575,4697,6.76,357681,32036,8.96,Americas
Philippines,82040,1945,26446,53649,1592,13,336,7.35,68898,13142,19.07,Western Pacific
Poland,43402,1676,32856,8870,337,5,103,5.1,40383,3019,7.48,Europe
Portugal,50299,1719,35375,13205,135,2,158,4.86,48771,1528,3.13,Europe
Qatar,109597,165,106328,3104,292,0,304,0.16,107037,2560,2.39,Eastern Mediterranean
Romania,45902,2206,25794,17902,1104,19,151,8.55,38139,7763,20.35,Europe
Russia,816680,13334,602249,201097,5607,85,3077,2.21,776212,40468,5.21,Europe
Rwanda,1879,5,975,899,58,0,57,0.51,1629,250,15.35,Africa
Saint Kitts and Nevis,17,0,15,2,0,0,0,0,17,0,0,Americas
Saint Lucia,24,0,22,2,0,0,0,0,23,1,4.35,Americas
Saint Vincent and the Grenadines,52,0,39,13,0,0,0,0,50,2,4,Americas
San Marino,699,42,657,0,0,0,0,6.39,699,0,0,Europe
Sao Tome and Principe,865,14,734,117,2,0,38,1.91,746,119,15.95,Africa
Saudi Arabia,268934,2760,222936,43238,1993,27,2613,1.24,253349,15585,6.15,Eastern Mediterranean
Senegal,9764,194,6477,3093,83,3,68,3,8948,816,9.12,Africa
Serbia,24141,543,0,23598,411,9,0,inf,21253,2888,13.59,Europe
Seychelles,114,0,39,75,0,0,0,0,108,6,5.56,Africa
Sierra Leone,1783,66,1317,400,0,0,4,5.01,1711,72,4.21,Africa
Singapore,50838,27,45692,5119,469,0,171,0.06,48035,2803,5.84,Western Pacific
Slovakia,2181,28,1616,537,2,0,39,1.73,1980,201,10.15,Europe
Slovenia,2087,116,1733,238,5,0,55,6.69,1953,134,6.86,Europe
Somalia,3196,93,1543,1560,18,0,22,6.03,3130,66,2.11,Eastern Mediterranean
South Africa,452529,7067,274925,170537,7096,298,9848,2.57,373628,78901,21.12,Africa
South Korea,14203,300,13007,896,28,1,102,2.31,13816,387,2.8,Western Pacific
South Sudan,2305,46,1175,1084,43,1,0,3.91,2211,94,4.25,Africa
Spain,272421,28432,150376,93613,0,0,0,18.91,264836,7585,2.86,Europe
Sri Lanka,2805,11,2121,673,23,0,15,0.52,2730,75,2.75,South-East Asia
Sudan,11424,720,5939,4765,39,3,49,12.12,10992,432,3.93,Eastern Mediterranean
Suriname,1483,24,925,534,44,1,35,2.59,1079,404,37.44,Americas
Sweden,79395,5700,0,73695,398,3,0,inf,78048,1347,1.73,Europe
Switzerland,34477,1978,30900,1599,65,1,200,6.4,33634,843,2.51,Europe
Syria,674,40,0,634,24,2,0,inf,522,152,29.12,Eastern Mediterranean
Taiwan*,462,7,440,15,4,0,0,1.59,451,11,2.44,Western Pacific
Tajikistan,7235,60,6028,1147,43,1,58,1,6921,314,4.54,Europe
Tanzania,509,21,183,305,0,0,0,11.48,509,0,0,Africa
Thailand,3297,58,3111,128,6,0,2,1.86,3250,47,1.45,South-East Asia
Timor-Leste,24,0,0,24,0,0,0,0,24,0,0,South-East Asia
Togo,874,18,607,249,6,0,8,2.97,783,91,11.62,Africa
Trinidad and Tobago,148,8,128,12,1,0,0,6.25,137,11,8.03,Americas
Tunisia,1455,50,1157,248,3,0,15,4.32,1381,74,5.36,Eastern Mediterranean
Turkey,227019,5630,210469,10920,919,17,982,2.67,220572,6447,2.92,Europe
US,4290259,148011,1325804,2816444,56336,1076,27941,11.16,3834677,455582,11.88,Americas
Uganda,1128,2,986,140,13,0,4,0.2,1069,59,5.52,Africa
Ukraine,67096,1636,37202,28258,835,11,317,4.4,60767,6329,10.42,Europe
United Arab Emirates,59177,345,52510,6322,264,1,328,0.66,57193,1984,3.47,Eastern Mediterranean
United Kingdom,301708,45844,1437,254427,688,7,3,3190.26,296944,4764,1.6,Europe
Uruguay,1202,35,951,216,10,1,3,3.68,1064,138,12.97,Americas
Uzbekistan,21209,121,11674,9414,678,5,569,1.04,17149,4060,23.67,Europe
Venezuela,15988,146,9959,5883,525,4,213,1.47,12334,3654,29.63,Americas
Vietnam,431,0,365,66,11,0,0,0,384,47,12.24,Western Pacific
West Bank and Gaza,10621,78,3752,6791,152,2,0,2.08,8916,1705,19.12,Eastern Mediterranean
Western Sahara,10,1,8,1,0,0,0,12.5,10,0,0,Africa
Yemen,1691,483,833,375,10,4,36,57.98,1619,72,4.45,Eastern Mediterranean
Zambia,4552,140,2815,1597,71,1,465,4.97,3326,1226,36.86,Africa
Zimbabwe,2704,36,542,2126,192,2,24,6.64,1713,991,57.85,Africa
