age,education,education level,marital status,Occupation,relationship,race,sex,Investment profit,Investment loss,hours per week,native country,income
26,Some College Education,10,Married-civ-spouse,Management and Administrative Occupations,Wife,White,Female,0,0,35,United-States,<=50K
49,Vocational Associate Degree,11,Married-civ-spouse,Technical and Labor Occupations,Husband,Black,Male,0,0,40,United-States,>50K
32,5th to 6th Grade,3,Never-married,Technical and Labor Occupations,Own-child,White,Female,0,0,10,United-States,<=50K
19,High School Graduate,9,Never-married,Management and Administrative Occupations,Not-in-family,White,Female,0,0,26,United-States,<=50K
25,High School Graduate,9,Never-married,Technical and Labor Occupations,Other-relative,Black,Male,0,0,40,United-States,<=50K
35,Some College Education,10,Separated,Service Occupations,Unmarried,White,Female,0,0,25,United-States,<=50K
42,Academic Associate Degree,12,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,60,United-States,>50K
54,High School Graduate,9,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,40,United-States,>50K
22,Some College Education,10,Never-married,Technical and Labor Occupations,Not-in-family,White,Female,0,0,40,United-States,<=50K
51,High School Graduate,9,Never-married,Technical and Labor Occupations,Unmarried,White,Male,0,0,45,United-States,<=50K
31,Bachelor's Degree,13,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
29,Vocational Associate Degree,11,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,48,United-States,<=50K
35,High School Graduate,9,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,40,United-States,<=50K
22,High School Graduate,9,Never-married,Technical and Labor Occupations,Unmarried,White,Female,0,0,35,United-States,<=50K
52,Bachelor's Degree,13,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,40,United-States,<=50K
59,Some College Education,10,Separated,Service Occupations,Not-in-family,White,Male,0,0,40,United-States,>50K
47,Bachelor's Degree,13,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
37,Bachelor's Degree,13,Never-married,Professional Occupations,Not-in-family,White,Male,0,0,45,United-States,>50K
35,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
37,High School Graduate,9,Divorced,Management and Administrative Occupations,Unmarried,White,Female,0,0,40,United-States,<=50K
21,Some College Education,10,Never-married,Service Occupations,Own-child,White,Male,0,0,30,United-States,<=50K
43,Bachelor's Degree,13,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,40,United-States,<=50K
46,Master's Degree,14,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,50,United-States,>50K
31,Master's Degree,14,Never-married,Professional Occupations,Not-in-family,White,Male,0,0,45,England,<=50K
49,Some College Education,10,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
41,Bachelor's Degree,13,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,7688,0,45,United-States,>50K
25,7th to 8th Grade,4,Never-married,Technical and Labor Occupations,Other-relative,White,Male,0,0,45,Guatemala,<=50K
25,Bachelor's Degree,13,Never-married,Professional Occupations,Not-in-family,White,Male,0,0,45,United-States,<=50K
37,Some College Education,10,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,60,United-States,>50K
49,9th Grade,5,Divorced,Technical and Labor Occupations,Not-in-family,White,Female,0,0,40,United-States,<=50K
49,Some College Education,10,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,50,United-States,>50K
24,High School Graduate,9,Never-married,Technical and Labor Occupations,Own-child,White,Male,0,0,50,United-States,<=50K
66,Some College Education,10,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,45,United-States,<=50K
53,Some College Education,10,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,15024,0,50,United-States,>50K
35,High School Graduate,9,Never-married,Service Occupations,Unmarried,Black,Female,0,0,40,United-States,<=50K
23,Some College Education,10,Never-married,Technical and Labor Occupations,Own-child,White,Male,0,0,35,United-States,<=50K
52,Some College Education,10,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
31,Bachelor's Degree,13,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,1977,55,United-States,>50K
20,High School Graduate,9,Divorced,Management and Administrative Occupations,Not-in-family,White,Female,0,0,40,United-States,<=50K
54,Some College Education,10,Divorced,Management and Administrative Occupations,Not-in-family,White,Female,0,0,40,United-States,<=50K
50,Bachelor's Degree,13,Divorced,Professional Occupations,Unmarried,White,Female,0,0,50,United-States,<=50K
30,Vocational Associate Degree,11,Married-civ-spouse,Professional Occupations,Wife,White,Female,0,0,36,United-States,>50K
74,Some College Education,10,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,35,United-States,>50K
90,High School Graduate,9,Widowed,Technical and Labor Occupations,Unmarried,White,Male,0,0,99,United-States,<=50K
51,High School Graduate,9,Married-civ-spouse,Service Occupations,Husband,White,Male,0,0,30,United-States,<=50K
42,Some College Education,10,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,50,United-States,>50K
29,Academic Associate Degree,12,Never-married,Service Occupations,Own-child,White,Male,0,0,60,United-States,<=50K
27,Some College Education,10,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
23,High School Graduate,9,Never-married,Technical and Labor Occupations,Own-child,Black,Male,2597,0,40,United-States,<=50K
27,Bachelor's Degree,13,Never-married,Management and Administrative Occupations,Own-child,Asian-Pac-Islander,Female,0,0,50,Laos,<=50K
21,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,Other,Male,0,0,35,United-States,<=50K
21,High School Graduate,9,Never-married,Technical and Labor Occupations,Own-child,White,Male,0,0,40,United-States,<=50K
58,9th Grade,5,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,50,United-States,>50K
36,Professional School,15,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,55,United-States,>50K
39,Some College Education,10,Divorced,Management and Administrative Occupations,Not-in-family,White,Male,0,0,50,United-States,>50K
36,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
28,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,45,United-States,<=50K
57,Professional School,15,Married-civ-spouse,Professional Occupations,Husband,Asian-Pac-Islander,Male,0,0,50,Taiwan,>50K
42,Some College Education,10,Divorced,Management and Administrative Occupations,Unmarried,White,Male,0,0,90,United-States,>50K
69,Some College Education,10,Married-civ-spouse,Service Occupations,Husband,White,Male,0,0,40,United-States,<=50K
24,Vocational Associate Degree,11,Never-married,Technical and Labor Occupations,Unmarried,White,Male,0,0,5,United-States,<=50K
59,Some College Education,10,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,34,United-States,<=50K
28,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,50,United-States,<=50K
45,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
55,High School Graduate,9,Divorced,Technical and Labor Occupations,Not-in-family,White,Male,0,0,45,United-States,<=50K
47,Some College Education,10,Never-married,Service Occupations,Unmarried,Black,Female,0,0,40,United-States,<=50K
67,7th to 8th Grade,4,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,40,United-States,<=50K
69,Doctoral Degree,16,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,40,China,>50K
20,High School Graduate,9,Never-married,Service Occupations,Own-child,White,Female,0,0,40,United-States,<=50K
50,Some College Education,10,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,60,United-States,>50K
41,Master's Degree,14,Divorced,Professional Occupations,Unmarried,White,Female,0,0,35,United-States,<=50K
63,Some College Education,10,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,16,United-States,<=50K
34,11th Grade,7,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,Mexico,<=50K
66,11th Grade,7,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,20,United-States,<=50K
42,5th to 6th Grade,3,Married-civ-spouse,Technical and Labor Occupations,Wife,White,Female,0,0,38,Mexico,<=50K
43,Some College Education,10,Married-civ-spouse,Professional Occupations,Wife,Black,Female,0,0,40,United-States,<=50K
65,High School Graduate,9,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,59,United-States,>50K
52,High School Graduate,9,Separated,Service Occupations,Not-in-family,White,Female,0,0,35,United-States,<=50K
41,Some College Education,10,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
39,Some College Education,10,Married-civ-spouse,Technical and Labor Occupations,Husband,Black,Male,0,0,52,United-States,>50K
59,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
32,11th Grade,7,Never-married,Service Occupations,Not-in-family,Black,Male,0,0,40,United-States,<=50K
43,High School Graduate,9,Married-civ-spouse,Service Occupations,Husband,Asian-Pac-Islander,Male,0,0,78,Thailand,<=50K
27,Vocational Associate Degree,11,Never-married,Technical and Labor Occupations,Own-child,White,Male,0,0,40,United-States,<=50K
46,Bachelor's Degree,13,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,55,United-States,<=50K
29,High School Graduate,9,Married-civ-spouse,Service Occupations,Husband,White,Male,0,0,35,United-States,<=50K
38,Bachelor's Degree,13,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,50,United-States,>50K
43,High School Graduate,9,Married-civ-spouse,Service Occupations,Husband,White,Male,0,0,40,United-States,<=50K
39,High School Graduate,9,Separated,Technical and Labor Occupations,Not-in-family,Black,Male,0,0,40,United-States,<=50K
45,High School Graduate,9,Never-married,Technical and Labor Occupations,Not-in-family,Black,Male,3325,0,40,United-States,<=50K
44,Master's Degree,14,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,44,United-States,>50K
59,Bachelor's Degree,13,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,40,United-States,<=50K
67,7th to 8th Grade,4,Widowed,Service Occupations,Not-in-family,White,Female,0,0,20,United-States,<=50K
25,10th Grade,6,Married-civ-spouse,Service Occupations,Wife,White,Female,0,0,40,United-States,<=50K
52,Some College Education,10,Widowed,Technical and Labor Occupations,Not-in-family,Black,Male,0,0,35,United-States,<=50K
59,High School Graduate,9,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,45,United-States,>50K
50,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,50,United-States,<=50K
45,High School Graduate,9,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,25,United-States,<=50K
59,10th Grade,6,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,>50K
33,Bachelor's Degree,13,Never-married,Technical and Labor Occupations,Not-in-family,White,Female,0,0,40,United-States,<=50K
38,Vocational Associate Degree,11,Never-married,Professional Occupations,Not-in-family,White,Female,0,0,39,United-States,<=50K
43,Some College Education,10,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,1902,40,United-States,>50K
19,High School Graduate,9,Never-married,Service Occupations,Own-child,White,Female,0,0,15,United-States,<=50K
52,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,14,United-States,<=50K
48,Some College Education,10,Never-married,Technical and Labor Occupations,Not-in-family,White,Male,0,0,45,United-States,<=50K
41,Professional School,15,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,45,El-Salvador,>50K
61,Master's Degree,14,Divorced,Professional Occupations,Not-in-family,White,Female,0,0,70,United-States,<=50K
62,Some College Education,10,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
76,5th to 6th Grade,3,Never-married,Technical and Labor Occupations,Not-in-family,White,Male,0,0,20,United-States,<=50K
57,Professional School,15,Married-civ-spouse,Technical and Labor Occupations,Wife,White,Female,15024,0,35,United-States,>50K
20,Some College Education,10,Never-married,Management and Administrative Occupations,Own-child,White,Male,0,0,30,United-States,<=50K
26,Some College Education,10,Never-married,Technical and Labor Occupations,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,High School Graduate,9,Married-civ-spouse,Service Occupations,Husband,White,Male,0,0,65,United-States,<=50K
31,Vocational Associate Degree,11,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,50,United-States,<=50K
65,Master's Degree,14,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,1648,4,Greece,<=50K
45,Bachelor's Degree,13,Divorced,Management and Administrative Occupations,Unmarried,Black,Female,0,0,60,United-States,<=50K
26,High School Graduate,9,Never-married,Service Occupations,Unmarried,Black,Female,0,0,25,United-States,<=50K
41,Master's Degree,14,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,38,United-States,>50K
22,Some College Education,10,Never-married,Technical and Labor Occupations,Own-child,White,Male,0,0,40,United-States,<=50K
43,High School Graduate,9,Never-married,Management and Administrative Occupations,Unmarried,Black,Female,0,0,40,United-States,<=50K
41,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Wife,White,Female,0,0,40,United-States,<=50K
39,Bachelor's Degree,13,Married-civ-spouse,Professional Occupations,Not-in-family,White,Male,0,0,60,United-States,<=50K
28,High School Graduate,9,Divorced,Technical and Labor Occupations,Own-child,White,Male,0,0,40,United-States,<=50K
20,High School Graduate,9,Never-married,Technical and Labor Occupations,Own-child,Other,Male,0,0,40,Puerto-Rico,<=50K
60,Some College Education,10,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,55,United-States,<=50K
25,High School Graduate,9,Married-civ-spouse,Management and Administrative Occupations,Other-relative,White,Male,0,0,40,United-States,<=50K
36,Academic Associate Degree,12,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,40,United-States,>50K
30,Some College Education,10,Never-married,Technical and Labor Occupations,Not-in-family,White,Male,0,0,45,United-States,<=50K
28,High School Graduate,9,Never-married,Service Occupations,Not-in-family,White,Female,0,0,46,United-States,<=50K
59,Some College Education,10,Never-married,Management and Administrative Occupations,Own-child,Black,Female,0,0,40,United-States,<=50K
46,Bachelor's Degree,13,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,40,United-States,>50K
44,High School Graduate,9,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,1887,70,United-States,>50K
30,Professional School,15,Never-married,Professional Occupations,Not-in-family,White,Female,0,0,45,United-States,<=50K
30,11th Grade,7,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
20,Some College Education,10,Never-married,Management and Administrative Occupations,Own-child,White,Male,0,0,30,United-States,<=50K
45,High School Graduate,9,Divorced,Technical and Labor Occupations,Unmarried,White,Female,0,0,40,United-States,<=50K
61,High School Graduate,9,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,50,United-States,<=50K
48,Bachelor's Degree,13,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
48,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
24,Some College Education,10,Never-married,Management and Administrative Occupations,Own-child,White,Male,0,0,40,United-States,<=50K
31,Some College Education,10,Married-civ-spouse,Technical and Labor Occupations,Husband,Black,Male,0,0,60,United-States,>50K
38,Some College Education,10,Separated,Professional Occupations,Unmarried,White,Female,0,0,40,Germany,<=50K
33,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
31,High School Graduate,9,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,40,United-States,>50K
46,Bachelor's Degree,13,Divorced,Service Occupations,Not-in-family,Black,Male,0,0,50,United-States,>50K
20,Some College Education,10,Never-married,Technical and Labor Occupations,Own-child,Black,Female,0,0,20,United-States,<=50K
38,Some College Education,10,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,7298,0,40,United-States,>50K
53,High School Graduate,9,Widowed,Management and Administrative Occupations,Not-in-family,Black,Female,0,0,40,United-States,<=50K
35,Some College Education,10,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,40,United-States,>50K
19,Some College Education,10,Never-married,Service Occupations,Own-child,White,Male,0,0,20,United-States,<=50K
47,Professional School,15,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,2415,45,United-States,>50K
66,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,1409,0,40,United-States,<=50K
40,High School Graduate,9,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,40,United-States,<=50K
29,Doctoral Degree,16,Married-civ-spouse,Professional Occupations,Husband,Asian-Pac-Islander,Male,0,0,60,India,<=50K
51,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,1579,40,United-States,<=50K
18,Some College Education,10,Never-married,Technical and Labor Occupations,Own-child,White,Female,0,0,32,United-States,<=50K
23,High School Graduate,9,Never-married,Service Occupations,Unmarried,Other,Female,0,0,40,Guatemala,<=50K
34,Some College Education,10,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,30,United-States,<=50K
45,High School Graduate,9,Separated,Management and Administrative Occupations,Own-child,White,Female,0,0,40,United-States,<=50K
55,High School Graduate,9,Separated,Technical and Labor Occupations,Unmarried,White,Female,0,0,55,United-States,<=50K
46,11th Grade,7,Divorced,Technical and Labor Occupations,Unmarried,Black,Female,0,0,40,United-States,<=50K
42,1st to 4th Grade,2,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,Italy,<=50K
61,Professional School,15,Separated,Professional Occupations,Not-in-family,White,Male,0,0,40,United-States,>50K
55,High School Graduate,9,Married-civ-spouse,Professional Occupations,Wife,White,Female,0,1887,40,United-States,>50K
44,Bachelor's Degree,13,Never-married,Professional Occupations,Own-child,White,Male,0,0,60,United-States,<=50K
47,Master's Degree,14,Never-married,Professional Occupations,Not-in-family,White,Male,0,0,35,United-States,>50K
31,High School Graduate,9,Never-married,Technical and Labor Occupations,Unmarried,Black,Female,0,0,30,United-States,<=50K
66,Master's Degree,14,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,50,United-States,<=50K
28,Some College Education,10,Never-married,Technical and Labor Occupations,Not-in-family,White,Male,0,1590,40,United-States,<=50K
30,Vocational Associate Degree,11,Never-married,Technical and Labor Occupations,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Some College Education,10,Never-married,Management and Administrative Occupations,Own-child,Black,Female,0,0,40,United-States,<=50K
31,Vocational Associate Degree,11,Divorced,Technical and Labor Occupations,Own-child,White,Male,0,0,20,United-States,<=50K
64,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
54,High School Graduate,9,Married-civ-spouse,Management and Administrative Occupations,Husband,Black,Male,0,0,20,United-States,<=50K
17,11th Grade,7,Never-married,Service Occupations,Own-child,White,Female,0,0,24,United-States,<=50K
51,Academic Associate Degree,12,Divorced,Management and Administrative Occupations,Unmarried,White,Female,0,0,99,United-States,<=50K
40,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
45,Some College Education,10,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,40,United-States,<=50K
28,High School Graduate,9,Never-married,Technical and Labor Occupations,Other-relative,Black,Male,0,0,30,United-States,<=50K
26,Some College Education,10,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,45,United-States,<=50K
39,High School Graduate,9,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,50,United-States,<=50K
33,Some College Education,10,Divorced,Management and Administrative Occupations,Unmarried,Black,Female,0,0,38,United-States,<=50K
35,Master's Degree,14,Married-civ-spouse,Professional Occupations,Wife,White,Female,0,0,35,United-States,>50K
32,Some College Education,10,Divorced,Management and Administrative Occupations,Not-in-family,White,Male,0,0,48,United-States,<=50K
34,Some College Education,10,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,40,United-States,>50K
55,Academic Associate Degree,12,Divorced,Management and Administrative Occupations,Own-child,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
49,High School Graduate,9,Divorced,Technical and Labor Occupations,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Bachelor's Degree,13,Never-married,Professional Occupations,Own-child,Black,Female,0,0,40,United-States,<=50K
34,Some College Education,10,Never-married,Technical and Labor Occupations,Not-in-family,White,Male,0,0,40,United-States,<=50K
63,Some College Education,10,Married-civ-spouse,Service Occupations,Husband,White,Male,0,0,48,United-States,<=50K
61,7th to 8th Grade,4,Married-civ-spouse,Technical and Labor Occupations,Husband,Black,Male,0,0,40,United-States,<=50K
46,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
33,Bachelor's Degree,13,Never-married,Technical and Labor Occupations,Not-in-family,White,Female,0,0,40,United-States,<=50K
38,Some College Education,10,Divorced,Management and Administrative Occupations,Not-in-family,White,Male,0,0,40,United-States,>50K
38,Some College Education,10,Divorced,Service Occupations,Unmarried,White,Female,0,0,40,United-States,<=50K
59,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Wife,White,Female,0,0,40,United-States,>50K
39,Some College Education,10,Married-civ-spouse,Service Occupations,Husband,White,Male,0,0,40,United-States,<=50K
28,10th Grade,6,Never-married,Technical and Labor Occupations,Other-relative,White,Male,0,0,40,Mexico,<=50K
29,Bachelor's Degree,13,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,35,United-States,>50K
46,Doctoral Degree,16,Divorced,Professional Occupations,Unmarried,White,Female,25236,0,65,United-States,>50K
42,Bachelor's Degree,13,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,1977,70,United-States,>50K
44,High School Graduate,9,Divorced,Technical and Labor Occupations,Unmarried,White,Male,0,0,60,United-States,<=50K
51,High School Graduate,9,Married-civ-spouse,Management and Administrative Occupations,Wife,White,Female,0,0,40,United-States,<=50K
42,Bachelor's Degree,13,Married-civ-spouse,Professional Occupations,Wife,Asian-Pac-Islander,Female,0,0,27,Taiwan,>50K
29,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,35,United-States,<=50K
